,CircleName,RegionName,DivisionName,OfficeName,Pincode,OfficeType,Delivery,District,StateName,Latitude,Longitude
181,Punjab Circle,,Patiala Division,SWAI SINGH WALA B.O,147111,BO,Delivery,PATIALA,PUNJAB,30.2204,76.4964
182,Punjab Circle,,Patiala Division,BINJAL B.O,147111,BO,Delivery,PATIALA,PUNJAB,30.1407,76.6146
380,Punjab Circle,Punjab West Region,Faridkot Division,Smalsar S.O,142049,PO,Delivery,MOGA,PUNJAB,30.6389875,74.9985706
431,Punjab Circle,Punjab West Region,Faridkot Division,Golewala S.O,151214,PO,Delivery,FARIDKOT,PUNJAB,30.790411,74.699154
791,Punjab Circle,DivReportingCircle,Ludhiana Moffusil Division,BALION BO,141114,BO,Delivery,LUDHIANA,PUNJAB,30.8607,76.1863
1164,Punjab Circle,DivReportingCircle,Patiala Division,BHANRA BO,147007,BO,Delivery,PATIALA,PUNJAB,30.2549,76.2993
1165,Punjab Circle,DivReportingCircle,Patiala Division,JANDOLI BO,140402,BO,Delivery,PATIALA,PUNJAB,30.483997,76.593948
1224,Punjab Circle,DivReportingCircle,Ludhiana Moffusil Division,GHUMNEWAL B.O,141110,BO,Delivery,LUDHIANA,PUNJAB,30.907711,75.650964
1373,Punjab Circle,Punjab West Region,Faridkot Division,Sadhanwala B.O,151214,BO,Delivery,FARIDKOT,PUNJAB,30.814291,74.638555
1374,Punjab Circle,DivReportingCircle,Ludhiana City Division,BHATTIAN SO,141008,PO,Non Delivery,LUDHIANA,PUNJAB,30.5725,75.4938
1724,Punjab Circle,DivReportingCircle,Chandigarh Division,Sunny Enclave S.O.,160055,PO,Non Delivery,S.A.S Nagar,PUNJAB,30.7585,76.66
4471,Punjab Circle,Punjab West Region,Faridkot Division,Guru Teg Bahadur Garh B.O,142049,BO,Delivery,MOGA,PUNJAB,30.81337,75.175565
5363,Punjab Circle,Punjab West Region,Kapurthala Division,KHALWARA BO,144402,BO,Delivery,KAPURTHALA,PUNJAB,31.234523,75.802894
39393,Punjab Circle,Punjab West Region,Kapurthala Division,Mullewal Khera BO,144702,BO,Delivery,JALANDHAR,PUNJAB,31.06579,75.24819
39394,Punjab Circle,Punjab West Region,Kapurthala Division,Poonian BO,144702,BO,Delivery,JALANDHAR,PUNJAB,31.06579,75.24819
39395,Punjab Circle,Punjab West Region,Kapurthala Division,Bath Kalan BO,144044,BO,Delivery,JALANDHAR,PUNJAB,31.52747,75.8066
39396,Punjab Circle,Punjab West Region,Kapurthala Division,Maheem BO,144044,BO,Delivery,JALANDHAR,PUNJAB,31.52747,75.8066
39397,Punjab Circle,Punjab West Region,Kapurthala Division,Khokhewal BO,144036,BO,Delivery,JALANDHAR,PUNJAB,31.52747,75.8066
39681,Punjab Circle,Punjab West Region,Kapurthala Division,Birk BO,144632,BO,Delivery,JALANDHAR,PUNJAB,31.1963969,75.7713809
39682,Punjab Circle,Punjab West Region,Kapurthala Division,Nagra BO,144037,BO,Delivery,JALANDHAR,PUNJAB,31.0847815,75.6909651
39683,Punjab Circle,Punjab West Region,Kapurthala Division,Pharwala BO,144037,BO,Delivery,JALANDHAR,PUNJAB,31.52747,75.8066
39684,Punjab Circle,Punjab West Region,Kapurthala Division,Tahli BO,144043,BO,Delivery,JALANDHAR,PUNJAB,31.217805,75.769395
39685,Punjab Circle,Punjab West Region,Kapurthala Division,Dalla BO,144626,BO,Delivery,KAPURTHALA,PUNJAB,31.19524,75.1263
39686,Punjab Circle,Punjab West Region,Kapurthala Division,Kabirpur BO,144626,BO,Delivery,KAPURTHALA,PUNJAB,31.19524,75.1263
39687,Punjab Circle,Punjab West Region,Kapurthala Division,Paramjitpur BO,144626,BO,Delivery,KAPURTHALA,PUNJAB,31.19524,75.1263
39688,Punjab Circle,Punjab West Region,Kapurthala Division,Sarai Jattan BO,144626,BO,Delivery,KAPURTHALA,PUNJAB,31.2396,75.71091
39689,Punjab Circle,Punjab West Region,Kapurthala Division,Sherpur Dona BO,144626,BO,Delivery,KAPURTHALA,PUNJAB,31.19524,75.1263
39758,Punjab Circle,Punjab West Region,Kapurthala Division,Dhapai BO,144603,BO,Delivery,KAPURTHALA,PUNJAB,31.358627,75.4435491
39759,Punjab Circle,Punjab West Region,Kapurthala Division,Mansoorwal BO,144603,BO,Delivery,KAPURTHALA,PUNJAB,31.3610714,75.4095974
39760,Punjab Circle,Punjab West Region,Kapurthala Division,Bhadas BO,144622,BO,Delivery,KAPURTHALA,PUNJAB,31.5871513,75.5067
39761,Punjab Circle,Punjab West Region,Kapurthala Division,Boparai BO,144622,BO,Delivery,KAPURTHALA,PUNJAB,31.5423307,75.5058251
39762,Punjab Circle,Punjab West Region,Kapurthala Division,Bhabiana BO,144407,BO,Delivery,KAPURTHALA,PUNJAB,31.3299521,75.807712
39763,Punjab Circle,Punjab West Region,Kapurthala Division,Rampur Sunera BO,144407,BO,Delivery,KAPURTHALA,PUNJAB,31.34097,75.79195
39764,Punjab Circle,Punjab West Region,Kapurthala Division,Bhagana BO,144405,BO,Delivery,KAPURTHALA,PUNJAB,31.3635942,75.851816
39765,Punjab Circle,Punjab West Region,Kapurthala Division,Mayopatti BO,144405,BO,Delivery,KAPURTHALA,PUNJAB,31.217809,75.769391
39766,Punjab Circle,Punjab West Region,Kapurthala Division,Sarai Jattan BO,144402,BO,Delivery,KAPURTHALA,PUNJAB,31.2396,75.71091
39767,Punjab Circle,Punjab West Region,Kapurthala Division,Chak Prema BO,144402,BO,Delivery,KAPURTHALA,PUNJAB,31.2693,75.8021
39768,Punjab Circle,Punjab West Region,Kapurthala Division,Sangatpur BO,144402,BO,Delivery,KAPURTHALA,PUNJAB,31.0514,75.7
39769,Punjab Circle,Punjab West Region,Kapurthala Division,Chiheru BO,144411,BO,Delivery,KAPURTHALA,PUNJAB,31.2396,75.71091
40240,Punjab Circle,Punjab West Region,Kapurthala Division,Kotli Gujjran BO,144702,BO,Delivery,JALANDHAR,PUNJAB,31.06579,75.24819
40241,Punjab Circle,Punjab West Region,Kapurthala Division,Mianwal Arrayan BO,144702,BO,Delivery,JALANDHAR,PUNJAB,31.06579,75.24819
40242,Punjab Circle,Punjab West Region,Kapurthala Division,Talwandi Buttian BO,144702,BO,Delivery,JALANDHAR,PUNJAB,31.06579,75.24819
40243,Punjab Circle,Punjab West Region,Kapurthala Division,Sharakpur BO,144042,BO,Delivery,JALANDHAR,PUNJAB,31.52747,75.8066
40244,Punjab Circle,Punjab West Region,Kapurthala Division,Kular BO,144625,BO,Delivery,JALANDHAR,PUNJAB,31.374925,75.384211
40245,Punjab Circle,Punjab West Region,Kapurthala Division,Powadhra BO,144036,BO,Delivery,JALANDHAR,PUNJAB,31.217808,75.769392
40246,Punjab Circle,Punjab West Region,Kapurthala Division,Rorkee BO,144311,BO,Delivery,JALANDHAR,PUNJAB,31.32055,75.2584
40247,Punjab Circle,Punjab West Region,Kapurthala Division,Chak Vendal BO,144033,BO,Delivery,JALANDHAR,PUNJAB,31.238182,76.488107
