,Unnamed: 0,CircleName,RegionName,DivisionName,OfficeName,Pincode,OfficeType,Delivery,District,StateName,Latitude,Longitude
0,181,Punjab Circle,,Patiala Division,SWAI SINGH WALA B.O,147111,BO,Delivery,PATIALA,PUNJAB,30.2204,76.4964
2,380,Punjab Circle,Punjab West Region,Faridkot Division,Smalsar S.O,142049,PO,Delivery,MOGA,PUNJAB,30.6389875,74.9985706
3,431,Punjab Circle,Punjab West Region,Faridkot Division,Golewala S.O,151214,PO,Delivery,FARIDKOT,PUNJAB,30.790411,74.699154
4,791,Punjab Circle,DivReportingCircle,Ludhiana Moffusil Division,BALION BO,141114,BO,Delivery,LUDHIANA,PUNJAB,30.8607,76.1863
5,1164,Punjab Circle,DivReportingCircle,Patiala Division,BHANRA BO,147007,BO,Delivery,PATIALA,PUNJAB,30.2549,76.2993
6,1165,Punjab Circle,DivReportingCircle,Patiala Division,JANDOLI BO,140402,BO,Delivery,PATIALA,PUNJAB,30.483997,76.593948
7,1224,Punjab Circle,DivReportingCircle,Ludhiana Moffusil Division,GHUMNEWAL B.O,141110,BO,Delivery,LUDHIANA,PUNJAB,30.907711,75.650964
9,1374,Punjab Circle,DivReportingCircle,Ludhiana City Division,BHATTIAN SO,141008,PO,Non Delivery,LUDHIANA,PUNJAB,30.5725,75.4938
10,1724,Punjab Circle,DivReportingCircle,Chandigarh Division,Sunny Enclave S.O.,160055,PO,Non Delivery,S.A.S Nagar,PUNJAB,30.7585,76.66
12,5363,Punjab Circle,Punjab West Region,Kapurthala Division,KHALWARA BO,144402,BO,Delivery,KAPURTHALA,PUNJAB,31.234523,75.802894
13,39393,Punjab Circle,Punjab West Region,Kapurthala Division,Mullewal Khera BO,144702,BO,Delivery,JALANDHAR,PUNJAB,31.06579,75.24819
15,39395,Punjab Circle,Punjab West Region,Kapurthala Division,Bath Kalan BO,144044,BO,Delivery,JALANDHAR,PUNJAB,31.52747,75.8066
17,39397,Punjab Circle,Punjab West Region,Kapurthala Division,Khokhewal BO,144036,BO,Delivery,JALANDHAR,PUNJAB,31.52747,75.8066
18,39681,Punjab Circle,Punjab West Region,Kapurthala Division,Birk BO,144632,BO,Delivery,JALANDHAR,PUNJAB,31.1963969,75.7713809
19,39682,Punjab Circle,Punjab West Region,Kapurthala Division,Nagra BO,144037,BO,Delivery,JALANDHAR,PUNJAB,31.0847815,75.6909651
21,39684,Punjab Circle,Punjab West Region,Kapurthala Division,Tahli BO,144043,BO,Delivery,JALANDHAR,PUNJAB,31.217805,75.769395
22,39685,Punjab Circle,Punjab West Region,Kapurthala Division,Dalla BO,144626,BO,Delivery,KAPURTHALA,PUNJAB,31.19524,75.1263
27,39758,Punjab Circle,Punjab West Region,Kapurthala Division,Dhapai BO,144603,BO,Delivery,KAPURTHALA,PUNJAB,31.358627,75.4435491
29,39760,Punjab Circle,Punjab West Region,Kapurthala Division,Bhadas BO,144622,BO,Delivery,KAPURTHALA,PUNJAB,31.5871513,75.5067
31,39762,Punjab Circle,Punjab West Region,Kapurthala Division,Bhabiana BO,144407,BO,Delivery,KAPURTHALA,PUNJAB,31.3299521,75.807712
33,39764,Punjab Circle,Punjab West Region,Kapurthala Division,Bhagana BO,144405,BO,Delivery,KAPURTHALA,PUNJAB,31.3635942,75.851816
38,39769,Punjab Circle,Punjab West Region,Kapurthala Division,Chiheru BO,144411,BO,Delivery,KAPURTHALA,PUNJAB,31.2396,75.71091
42,40243,Punjab Circle,Punjab West Region,Kapurthala Division,Sharakpur BO,144042,BO,Delivery,JALANDHAR,PUNJAB,31.52747,75.8066
43,40244,Punjab Circle,Punjab West Region,Kapurthala Division,Kular BO,144625,BO,Delivery,JALANDHAR,PUNJAB,31.374925,75.384211
45,40246,Punjab Circle,Punjab West Region,Kapurthala Division,Rorkee BO,144311,BO,Delivery,JALANDHAR,PUNJAB,31.32055,75.2584
46,40247,Punjab Circle,Punjab West Region,Kapurthala Division,Chak Vendal BO,144033,BO,Delivery,JALANDHAR,PUNJAB,31.238182,76.488107
48,41211,Punjab Circle,Punjab West Region,Kapurthala Division,Kang Arryan BO,144035,BO,Delivery,JALANDHAR,PUNJAB,31.52747,75.8066
50,41213,Punjab Circle,Punjab West Region,Kapurthala Division,Daduwal BO,144032,BO,Delivery,JALANDHAR,PUNJAB,31.2069036,75.6723245
51,41214,Punjab Circle,Punjab West Region,Kapurthala Division,Dhanipind BO,144633,BO,Delivery,JALANDHAR,PUNJAB,31.1778861,75.6576652
56,41542,Punjab Circle,Punjab West Region,Kapurthala Division,Bhulana BO,144620,BO,Delivery,KAPURTHALA,PUNJAB,31.374927,75.384209
60,41546,Punjab Circle,Punjab West Region,Kapurthala Division,Fattu Dhinga BO,144606,BO,Delivery,KAPURTHALA,PUNJAB,31.38345,75.32705
62,41548,Punjab Circle,Punjab West Region,Kapurthala Division,Saidpur BO,144628,BO,Delivery,KAPURTHALA,PUNJAB,31.374927,75.384209
71,41734,Punjab Circle,Punjab West Region,Kapurthala Division,Bohani BO,144403,BO,Delivery,KAPURTHALA,PUNJAB,31.217806,75.769394
81,41755,Punjab Circle,Punjab West Region,Kapurthala Division,Bhardwajian BO,144034,BO,Delivery,JALANDHAR,PUNJAB,31.217811,75.769389
